baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R2W0	R30W7	R14W7	R14W0	R2W7	R30W0	R20W0	R4W7	R18W7	R12W0	R18W0	R12W7	R4W0	R20W6	R1W7	R17W0	R17W7	R1W0	R7W0	R29W0	R23W7	R11W7	R11W0	R7W7	R29W7	R23W0	Significant	Description	Symbol	KO	Phylum
554.887023570428	0.240871374649334	0.207154897901762	1.16275973722601	0.244926997030011	0.983537789322935	386	692	663	506	667	438	623	791	695	359	157	292	762	692	418	735	806	630	669	448	563	522	492	253	486	598	No	phosphoglucosamine mutase [EC:5.4.2.10]	glmM	K03431	K03431
413.159630573514	0.0393032790731359	0.208610139282505	0.188405411205399	0.850558858130037	0.983537789322935	201	599	404	300	401	378	417	609	525	539	323	480	431	409	283	734	358	327	454	504	332	324	396	203	243	414	No	aspartate--ammonia ligase [EC:6.3.1.1]	asnA	K01914	K01914
102.756387218992	0.750145589559476	0.479588902717669	1.56414292596983	0.117784007050074	0.983537789322935	5	46	215	79	85	23	159	217	244	0	13	31	110	173	58	53	245	183	95	138	62	67	26	136	109	196	No	spore coat protein JB	cotJB	K06333	K06333
143.894965342582	0.698834063412611	0.381642968519713	1.83111997614733	0.0670826375185356	0.983537789322935	18	78	282	276	108	54	264	342	368	10	36	47	153	161	92	96	334	173	103	102	72	110	45	166	191	212	No	spore coat protein JC	cotJC	K06334	K06334
199.070867072862	0.648085265331287	0.501496467542349	1.29230275241482	0.196252319158683	0.983537789322935	200	71	332	432	119	0	207	253	412	3	36	57	187	372	312	179	356	231	121	255	153	161	108	313	199	145	No	putative lysine transport system substrate-binding protein	lysX1	K17073	K17073
206.498006371409	0.636769400350811	0.326402119364915	1.95087397590978	0.0510720390960971	0.983537789322935	168	91	363	341	126	14	217	261	390	51	71	105	193	405	215	121	358	241	120	385	156	204	160	316	225	98	No	putative lysine transport system permease protein	lysX2	K17074	K17074
1306.3033639716	0.158123331306563	0.162307026526408	0.974223573006162	0.329945542601671	0.983537789322935	1002	1202	1415	1754	1304	1088	1507	1757	1576	960	679	1118	1423	1280	1599	1617	1677	746	1726	1251	1001	1215	1559	835	1145	1335	No	polar amino acid transport system permease protein	ABC.PA.P	K02029	K02029
84.4429736326932	0.262417093254556	0.56546174807675	0.464075764889649	0.642593464425155	0.983537789322935	52	18	151	69	53	51	124	119	73	7	7	0	75	68	323	130	61	0	214	75	53	96	127	31	97	132	No	aspartate/glutamate/glutamine transport system permease protein	peb1B, glnP, glnM	K10040	K10040
119.196503545828	0.503073947272149	0.32614039721076	1.54250731149705	0.122950362588099	0.983537789322935	99	52	192	160	75	27	158	201	268	48	49	80	101	197	114	68	228	155	57	234	73	135	134	114	96	29	No	putative lysine transport system ATP-binding protein	lysY	K17076	K17076
608.914641002306	0.156976843699641	0.16625933323484	0.944168610840705	0.345083492724569	0.983537789322935	526	591	671	743	663	495	557	698	734	440	428	459	640	697	660	770	741	457	808	754	538	573	410	372	555	631	No	cysteine synthase [EC:2.5.1.47]	cysK	K01738	K01738
449.550703628011	0.300285561941096	0.129931342371471	2.31110951722938	0.0208268064353012	0.983537789322935	305	558	501	462	355	405	395	580	471	294	430	439	430	550	427	449	555	524	478	407	351	437	474	527	397	412	Yes	glutamate 5-kinase [EC:2.7.2.11]	proB	K00931	K00931
580.714717718725	0.174339745314167	0.188201299398286	0.926347192455966	0.354265577989702	0.983537789322935	337	719	503	592	426	632	575	707	686	665	797	1039	552	616	391	584	577	583	539	469	417	510	482	498	414	464	No	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	proA	K00147	K00147
451.463063935213	0.13080319183554	0.158884045968137	0.823261964651702	0.410359038176995	0.983537789322935	450	357	412	423	334	368	414	471	501	355	519	609	410	433	423	537	547	386	377	581	402	375	452	493	399	509	No	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	proC	K00286	K00286
685.752966020575	0.0625604985281681	0.18090585268947	0.345817990949994	0.729479503593607	0.983537789322935	436	901	691	941	478	883	622	869	839	746	576	903	691	659	508	1000	787	674	568	734	473	556	533	450	545	505	No	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	murD	K01925	K01925
793.016410730433	0.191743862663442	0.144219479857686	1.32952818060815	0.183673774865115	0.983537789322935	341	920	930	1350	599	809	800	1258	1195	674	608	597	873	935	593	983	1046	704	625	705	554	762	787	638	720	911	No	DNA ligase (NAD+) [EC:6.5.1.2]	E6.5.1.2, ligA, ligB	K01972	K01972
364.06799733945	0.167700962309324	0.1603812421981	1.04563950254347	0.295727503881717	0.983537789322935	177	436	307	434	306	497	323	517	425	358	330	365	336	397	351	436	431	266	412	354	330	323	334	271	313	365	No	transcription antitermination protein NusB	nusB	K03625	K03625
573.141025584461	0.155795635312058	0.173826782269317	0.896269454442741	0.370108868894284	0.983537789322935	306	612	641	599	481	536	502	796	680	783	475	579	632	622	464	784	761	405	575	605	455	439	515	425	538	458	No	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	xseA	K03601	K03601
308.221043645366	0.240185758208308	0.166567100035657	1.44197598539502	0.149309148386859	0.983537789322935	224	296	339	311	329	239	292	444	289	323	210	245	313	373	378	325	285	263	327	359	256	337	315	232	318	251	No	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	xseB	K03602	K03602
421.808472853317	0.101105446510628	0.159316827667232	0.634618753028454	0.525677094407957	0.983537789322935	273	461	544	454	407	557	449	475	497	349	367	458	412	435	253	497	461	379	458	457	351	423	354	261	375	450	No	geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]	GGPS	K13789	K13789
930.19991323303	-0.0151881265964828	0.196778350387488	-0.0771839308875951	0.9384772248034	0.989759182200186	378	1433	858	999	788	1238	889	983	931	1419	1012	1105	1088	816	700	1118	1087	827	949	954	654	756	766	502	734	715	No	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	dxs	K01662	K01662
320.147947602257	0.278583730414978	0.219509227264611	1.26912081959614	0.204397975821542	0.983537789322935	256	300	383	616	340	229	318	381	484	120	77	144	334	393	353	340	534	221	440	280	278	305	349	236	301	397	No	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	tlyA	K06442	K06442
435.108666927173	0.104074210508794	0.136345904070489	0.763310135484446	0.445278458890047	0.983537789322935	240	460	425	580	371	470	476	479	556	384	371	385	458	440	362	628	541	368	392	440	404	470	443	344	386	427	No	NAD+ kinase [EC:2.7.1.23]	ppnK, NADK	K00858	K00858
350.024295734844	0.181587170041575	0.160131032550634	1.13399112682394	0.256798270034866	0.983537789322935	303	277	393	290	262	338	370	331	423	370	293	434	322	379	379	354	421	278	322	379	350	402	367	279	257	363	No	transcriptional regulator of arginine metabolism	argR, ahrC	K03402	K03402
608.086425651639	0.190719154133009	0.144944039411434	1.31581232941658	0.188237039998997	0.983537789322935	421	674	641	689	393	627	675	898	686	490	497	527	597	664	755	720	888	562	582	597	514	530	631	426	507	541	No	DNA repair protein RecN (Recombination protein N)	recN	K03631	K03631
605.097225320281	0.0391982616888651	0.161541038925406	0.242652034118497	0.8082749681904	0.983537789322935	424	587	727	776	417	591	536	734	626	606	653	524	666	832	418	831	799	360	716	749	475	548	508	409	571	565	No	tyrosyl-tRNA synthetase [EC:6.1.1.1]	YARS, tyrS	K01866	K01866
498.08115189935	0.285383983339212	0.239598847490863	1.19109080167881	0.233617940487839	0.983537789322935	78	430	878	668	473	348	545	653	940	218	132	175	626	620	479	751	642	526	663	548	391	487	555	411	417	613	No	manganese-transporting P-type ATPase C [EC:7.2.2.22]	ctpC	K12950	K12950
458.965802813356	0.2061605353443	0.172912033866198	1.19228564221175	0.233149262343524	0.983537789322935	292	385	504	350	461	386	624	717	587	487	340	409	524	541	323	589	570	316	523	310	458	497	516	320	390	395	No	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	rpe, RPE	K01783	K01783
443.967047307078	0.252401183786805	0.16461458411755	1.53328567538443	0.125205482497532	0.983537789322935	326	610	479	681	343	329	480	552	486	471	284	329	454	529	494	497	612	325	364	351	394	421	373	339	423	485	No	recombination protein RecR	recR	K06187	K06187
576.301211776354	0.17527741820697	0.215236992454985	0.814346159587918	0.415446673051485	0.983537789322935	645	420	794	765	569	236	598	842	947	379	258	305	736	905	429	920	886	447	467	567	402	418	547	299	561	672	No	ribonuclease J [EC:3.1.-.-]	rnj	K12574	K12574
717.471178656625	0.111622527453792	0.205190566987183	0.543994439377733	0.58644529935397	0.983537789322935	491	833	504	653	435	718	550	497	505	919	921	1004	473	514	1027	919	717	951	442	714	487	806	704	1123	537	811	No	cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	patB, malY	K14155	K14155
293.814182430667	0.146455519934081	0.177328465149337	0.825899664843678	0.408861010752045	0.983537789322935	252	316	349	352	300	189	279	305	317	351	261	236	394	393	278	321	262	245	285	229	232	273	296	239	296	231	No	preprotein translocase subunit SecG	secG	K03075	K03075
954.1691622048	0.255131345392362	0.184436158276264	1.38330437901556	0.166571555886509	0.983537789322935	555	1111	997	848	1236	906	984	1029	1067	694	464	997	1097	854	890	1347	1407	749	1248	840	925	803	704	528	841	1263	No	23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]	rumA	K03215	K03215
915.076876006226	0.189060807425632	0.191242137389399	0.98859388420594	0.32286187964888	0.983537789322935	323	881	774	928	999	641	858	833	881	791	605	847	914	600	913	1296	1055	1065	1463	943	959	846	699	1430	802	1046	No	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	pfk, pfp	K21071	K21071
692.394314332173	0.161591517296732	0.134037744903555	1.20556726325859	0.227984388142473	0.983537789322935	478	796	692	944	506	746	704	818	772	486	648	607	678	609	598	642	816	681	684	663	481	662	798	1145	578	770	No	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	FBA, fbaA	K01624	K01624
929.034605456414	0.181153026657622	0.165982262120693	1.09139991432276	0.275096950106436	0.983537789322935	515	1183	987	1231	1002	977	821	1341	1156	795	589	882	1012	1027	943	1081	1046	867	903	1318	627	837	814	508	728	779	No	Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]	zntA	K01534	K01534
457.115825969845	0.162589199940535	0.193593112176529	0.839850127479106	0.400992423477598	0.983537789322935	257	369	356	301	625	470	748	501	399	305	396	382	414	579	543	470	627	333	550	604	400	385	433	305	415	500	No	integrase/recombinase XerC	xerC	K03733	K03733
832.904108837517	0.298575923321076	0.158242660699218	1.88682319926735	0.0591841096781342	0.983537789322935	586	471	1178	830	934	540	936	1076	1026	485	545	658	826	874	757	787	923	894	872	1062	798	751	820	1011	876	933	No	integrase/recombinase XerD	xerD	K04763	K04763
573.768845588423	0.0724227471296971	0.137836307139124	0.525425765046052	0.599287246414253	0.983537789322935	433	664	593	492	432	629	557	574	717	495	550	465	577	739	491	795	773	588	511	644	463	460	622	448	503	640	No	DNA repair protein RadA/Sms	radA, sms	K04485	K04485
932.081387543432	0.238210066429641	0.15547782445453	1.53211602532621	0.125493805867728	0.983537789322935	819	832	1115	1068	1099	933	979	1214	1552	601	800	705	1038	1105	656	769	1446	1082	607	928	706	806	652	777	701	1232	No	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	amiABC	K01448	K01448
585.308043158236	0.0579106822849797	0.243397793629448	0.237926077395523	0.811938429365575	0.983537789322935	387	783	598	1130	300	823	500	691	657	813	710	906	500	582	724	536	453	469	224	716	334	362	527	297	551	283	No	aspartate aminotransferase [EC:2.6.1.1]	aspB	K00812	K00812
545.277569281071	0.300306781262873	0.223362154137825	1.34448372609073	0.17879201543512	0.983537789322935	151	448	704	756	461	324	507	803	746	162	168	215	687	544	590	612	882	390	1018	625	476	722	820	460	648	676	No	aminotransferase [EC:2.6.1.-]	K10907	K10907	K10907
319.189323170785	0.660751447903774	0.271766377024595	2.43132154587311	0.0150438570666596	0.983537789322935	30	289	516	420	390	192	365	578	554	111	52	142	339	466	330	365	589	219	389	302	268	273	291	251	327	393	Yes	stage IV sporulation protein A	spoIVA	K06398	K06398
270.07876729052	0.321918664676389	0.236324653435603	1.36218824399592	0.173138484926923	0.983537789322935	181	173	353	256	343	193	271	375	420	195	51	81	326	270	237	353	434	248	362	211	260	312	197	304	250	376	No	tRNA (adenine22-N1)-methyltransferase [EC:2.1.1.217]	trmK	K06967	K06967
1269.9421802744	0.525183818058921	0.304246530860901	1.72617849272711	0.0843153060486893	0.983537789322935	154	992	1878	1595	1715	785	1733	1768	2052	353	202	441	1595	1802	1446	1208	1874	722	2005	1283	1467	1241	1273	744	1393	1636	No	RNA polymerase sporulation-specific sigma factor	sigH	K03091	K03091
589.708827531861	-0.139237369241723	0.189595145583759	-0.734393113352211	0.462709182768415	0.983537789322935	511	511	499	907	406	842	559	860	600	841	483	722	612	607	378	788	630	498	527	487	470	490	678	313	466	410	No	holliday junction DNA helicase RuvB [EC:5.6.2.4]	ruvB	K03551	K03551
424.053412161162	0.0448308545262652	0.164093260655137	0.273203508463904	0.784696783175557	0.983537789322935	272	546	398	283	332	475	492	443	425	491	341	373	435	449	367	559	547	372	427	490	383	402	402	309	357	511	No	holliday junction DNA helicase RuvA [EC:5.6.2.4]	ruvA	K03550	K03550
324.529153653137	0.018814892680239	0.212436140586217	0.0885672872248543	0.929425806897258	0.989091865185352	178	485	395	508	171	409	383	418	418	405	233	323	395	362	198	308	333	238	421	256	242	225	351	212	288	186	No	crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]	ruvC	K01159	K01159
316.478241048407	0.130229051508001	0.164203517160673	0.793095384068857	0.427722251980359	0.983537789322935	195	381	351	403	307	253	305	383	301	336	296	231	324	348	366	366	352	267	395	317	280	285	338	197	294	258	No	preprotein translocase subunit YajC	yajC	K03210	K03210
533.011482359202	0.112254710247791	0.176561223571986	0.635783486185596	0.524917552368069	0.983537789322935	283	769	523	743	497	614	603	677	706	506	389	426	552	674	401	775	679	437	473	553	425	405	511	268	458	443	No	queuine tRNA-ribosyltransferase [EC:2.4.2.29]	tgt	K00773	K00773
636.748375806591	0.128931619539649	0.203397469870354	0.633889987037846	0.526152620622581	0.983537789322935	237	818	530	435	618	928	689	761	564	921	824	809	739	574	606	699	695	429	571	509	519	600	562	450	557	491	No	HSP20 family protein	HSP20	K13993	K13993
614.122291908748	0.000322677942081805	0.194049169760527	0.00166286690368228	0.998673224782332	0.99931453043318	335	936	565	540	418	903	594	743	691	819	815	644	628	685	383	893	637	597	423	617	491	453	522	417	524	437	No	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	queA	K07568	K07568
742.422351397667	0.149482334680201	0.203312247219164	0.735235268532857	0.462196223222872	0.983537789322935	172	1143	787	538	638	765	874	919	832	562	454	656	827	689	625	1071	1012	577	1284	934	582	585	719	649	565	744	No	stage II sporulation protein D	spoIID	K06381	K06381
561.886909698057	0.284924065826524	0.248732789276601	1.14550263620321	0.2520010040369	0.983537789322935	97	687	861	636	694	521	683	708	894	175	101	301	694	443	503	700	639	582	771	747	493	493	597	375	613	753	No	magnesium transporter	mgtE	K06213	K06213
138.544612615592	-0.175072799724691	0.304754121835462	-0.574472294813502	0.565648243379562	0.983537789322935	125	73	110	491	59	60	177	181	72	92	79	40	141	146	133	107	269	124	114	232	101	114	186	141	207	96	No	adenosylhomocysteinase [EC:3.3.1.1]	E3.3.1.1, ahcY	K01251	K01251
378.97741819942	0.452297329023397	0.303110832861811	1.492184640031	0.13565074789133	0.983537789322935	32	210	594	393	505	220	572	635	548	86	51	152	447	555	448	530	642	299	493	482	305	326	394	243	369	469	No	stage II sporulation protein E [EC:3.1.3.16]	spoIIE	K06382	K06382
654.006545880171	0.0744675802331635	0.171665037845044	0.433795845490582	0.664436698763415	0.983537789322935	447	739	708	600	580	864	719	806	795	775	510	631	736	764	650	731	714	495	564	783	459	488	580	403	553	593	No	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	murC	K01924	K01924
201.796819088993	0.231102414739164	0.346267629681228	0.667409815211187	0.504510398091719	0.983537789322935	4	69	338	327	140	130	209	319	428	54	37	113	299	281	105	287	256	211	304	247	182	328	248	77	230	285	No	uracil-DNA glycosylase [EC:3.2.2.27]	udg	K21929	K21929
1508.4776325355	0.140300267143322	0.193393552099629	0.725465071715753	0.468166765261117	0.983537789322935	638	2379	1458	2100	1095	1787	1250	1977	1663	1964	1983	2138	1715	1369	1353	1667	1773	1188	1120	1256	1215	1039	1306	866	1013	1356	No	ATP-dependent DNA helicase RecG [EC:5.6.2.4]	recG	K03655	K03655
470.172426159121	0.0590028322685561	0.174603075317717	0.337925504239781	0.735419327377543	0.983537789322935	204	613	508	483	378	486	422	523	426	629	358	549	421	487	272	499	422	532	497	601	426	461	463	442	369	606	No	DNA repair protein RadC	radC	K03630	K03630
718.675881724869	0.123603316183453	0.150625331349411	0.820601123835714	0.411873507338352	0.983537789322935	656	709	834	992	595	733	868	1007	852	467	458	581	837	891	560	792	1021	590	766	559	591	767	702	415	628	814	No	N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]	OSGEP, KAE1, QRI7	K01409	K01409
221.759243365152	0.58036609692693	0.252007199692962	2.30297427071143	0.0212802907760197	0.983537789322935	215	104	323	206	239	66	244	340	522	52	93	92	242	333	204	187	417	288	123	159	157	388	275	158	223	302	Yes	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	rimI	K03789	K03789
993.308294382724	0.064664727411028	0.162996648909773	0.396724275275273	0.691570797029104	0.983537789322935	522	1241	1033	1140	796	1087	946	1500	1195	924	837	985	1181	960	767	1163	1294	867	1246	1319	764	779	877	519	840	920	No	DNA polymerase I [EC:2.7.7.7]	polA	K02335	K02335
747.502386659105	0.10767365770781	0.164806367465434	0.653334330242992	0.513540764871496	0.983537789322935	463	887	919	1466	611	729	728	996	1051	481	527	552	850	937	547	1009	949	656	692	863	546	623	680	432	713	664	No	excinuclease ABC subunit B	uvrB	K03702	K03702
89.0260432033913	0.286289165289468	0.493647979286309	0.579945988441743	0.561951041595985	0.983537789322935	35	40	139	333	198	71	93	165	75	0	18	41	142	37	63	45	181	9	50	199	75	70	84	23	103	58	No	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	araM, egsA	K00096	K00096
465.85609678242	0.112794768408494	0.196127436317128	0.575109584495411	0.565217186248607	0.983537789322935	406	565	443	516	486	546	434	538	331	380	556	486	596	590	435	434	348	393	350	615	431	281	359	338	526	350	No	undecaprenyl-diphosphatase [EC:3.6.1.27]	bcrC	K19302	K19302
986.684689049017	0.215222257348135	0.185604130926697	1.15957687080324	0.246221122379094	0.983537789322935	194	911	1279	1276	1064	1242	1096	1392	1456	783	629	760	1184	1017	784	1340	1375	1005	1091	798	748	893	801	825	818	1004	No	uncharacterized protein	K07137	K07137	K07137
1615.24022251346	0.161752488720977	0.182237948813774	0.887589493702375	0.374761607146842	0.983537789322935	585	1926	2045	2613	1381	1786	1555	2234	2415	936	857	1199	2125	1915	1476	2577	2177	1034	1934	1589	1131	1347	1698	871	1397	1729	No	DNA gyrase subunit A [EC:5.6.2.2]	gyrA	K02469	K02469
1447.94610695778	0.167839690385041	0.175910623857198	0.954119124273536	0.340023346662683	0.983537789322935	700	1322	1759	2040	1310	1455	1544	2170	1943	1137	800	1251	1601	1823	1239	2307	1806	1001	1631	1628	1154	1018	1246	922	1386	1300	No	DNA gyrase subunit B [EC:5.6.2.2]	gyrB	K02470	K02470
51.4912772437276	0.628846010220823	0.525433226446172	1.1968143211538	0.231378935024446	0.983537789322935	0	9	147	50	19	0	49	95	143	31	36	28	65	87	18	17	78	106	28	61	12	79	101	41	83	39	No	inhibitor of the pro-sigma K processing machinery	bofA	K06317	K06317
191.743704825273	0.201208699597869	0.343571813603941	0.585637970377327	0.558118826397288	0.983537789322935	185	168	362	317	193	96	169	373	433	71	13	64	290	210	76	209	233	82	339	269	157	100	159	68	207	188	No	23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]	rlmA1	K00563	K00563
58.0480222840387	0.821624834323682	0.480888497557613	1.70855580554876	0.087533260920983	0.983537789322935	42	0	42	59	64	19	12	73	47	61	53	28	32	52	71	23	53	31	63	7	17	157	54	200	136	134	No	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]	ubiD	K03182	K03182
34.1961289551652	1.03708014937364	0.619285578953536	1.67463959216699	0.0940049662188518	0.983537789322935	13	0	8	22	52	0	10	46	26	39	34	17	3	16	28	17	14	33	40	10	13	79	11	154	113	82	No	flavin prenyltransferase [EC:2.5.1.129]	ubiX, bsdB, PAD1	K03186	K03186
108.767325554211	0.815703408641008	0.513842385500762	1.58745839513817	0.112408862686069	0.983537789322935	0	135	74	267	120	0	77	170	363	23	10	8	121	192	58	77	211	104	47	144	42	201	201	146	149	112	No	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	porB	K00170	K00170
64.9351391353858	0.525545834492083	0.490644973396148	1.07113261724533	0.28410980408977	0.983537789322935	124	28	62	0	110	54	51	85	110	18	14	3	35	71	39	72	92	55	63	71	34	77	21	118	139	95	No	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	porA	K00169	K00169
216.982010120826	-0.0705187935792864	0.292749222123202	-0.240884648874008	0.809644520288501	0.983537789322935	86	285	183	240	62	400	177	285	246	350	294	385	214	151	71	289	272	253	182	152	102	144	85	178	244	199	No	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5	SLC13A2_3_5	K14445	K14445
232.428410071176	-0.108439849110322	0.246118331618617	-0.440600455874859	0.659502272756349	0.983537789322935	244	350	169	334	127	138	136	333	186	223	84	137	348	235	202	305	253	214	413	200	261	280	327	61	222	277	No	serine/threonine transporter	sstT	K07862	K07862
224.751927428296	0.535270728936262	0.314133342432518	1.70396025073731	0.0883885135260874	0.983537789322935	17	128	291	320	367	75	230	255	306	105	31	87	265	305	213	223	435	150	377	245	299	221	232	160	241	312	No	AbrB family transcriptional regulator, stage V sporulation protein T	spoVT	K04769	K04769
835.995728816142	-0.0160830984078144	0.142604766679418	-0.112780931397405	0.910204236417334	0.987872939578914	645	932	646	1197	764	924	774	979	1091	732	667	623	851	840	625	1085	1197	894	884	953	762	710	848	470	758	868	No	UDP-glucose 4-epimerase [EC:5.1.3.2]	galE, GALE	K01784	K01784
1200.36522873922	0.0840055025340033	0.149656564745551	0.561321868351255	0.574578136325593	0.983537789322935	787	1237	1283	2087	934	1500	1035	1654	1638	910	790	756	1315	1465	1051	1297	1684	1285	1429	1025	844	939	1093	1006	1097	1240	No	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	nrdD	K21636	K21636
451.164021195994	0.207537775330702	0.167711179936682	1.23747132068987	0.215912155172529	0.983537789322935	266	470	446	340	461	488	359	606	509	484	334	380	532	389	499	495	562	510	594	344	463	445	376	323	423	434	No	anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4]	nrdG	K04068	K04068
440.753755712889	0.324132396004903	0.192561541419458	1.68326652152645	0.0923235082832684	0.983537789322935	314	576	381	317	465	447	421	557	403	516	350	525	494	439	364	570	528	387	373	243	376	393	361	372	584	331	No	dUTP pyrophosphatase [EC:3.6.1.23]	dut, DUT	K01520	K01520
574.393288422256	0.146637492902663	0.134407589053787	1.09099117047611	0.27527676778862	0.983537789322935	341	584	553	696	616	535	506	788	538	435	431	451	643	564	620	686	764	619	518	645	492	488	620	460	528	811	No	diaminopimelate decarboxylase [EC:4.1.1.20]	lysA	K01586	K01586
96.5216936410195	0.799951727277702	0.422620762267396	1.89283584409316	0.0583797031994919	0.983537789322935	4	126	289	164	159	91	160	170	96	46	123	55	113	97	37	43	81	16	29	35	113	116	161	66	112	9	No	signal peptidase I [EC:3.4.21.89]	SEC11, sipW	K13280	K13280
347.305595519595	-0.135729803913698	0.315030010452359	-0.4308472190278	0.666579463343721	0.983537789322935	250	710	188	600	102	769	370	316	186	509	540	501	331	459	335	286	293	133	176	359	201	111	331	217	323	118	No	Ca-activated chloride channel homolog	yfbK	K07114	K07114
353.803162514635	0.0105215263554789	0.216776963575965	0.0485361829131437	0.961288928615391	0.992213692439161	313	605	261	366	259	408	310	341	330	453	539	488	365	396	304	347	221	255	272	425	272	340	407	197	292	194	No	pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]	ppnN	K06966	K06966
