KEGG_ko	Description	Symbol	0505-0101	R1W5
K03596	GTP-binding protein LepA	lepA	434.56389550158633	400.95651872195407
K01866	tyrosyl-tRNA synthetase [EC:6.1.1.1]	YARS, tyrS	378.02343640896265	271.7492653625858
K03694	ATP-dependent Clp protease ATP-binding subunit ClpA	clpA	147.1329132798908	36.127714036439706
K03695	ATP-dependent Clp protease ATP-binding subunit ClpB	clpB	568.0930180486737	671.0942969406457
K02986	small subunit ribosomal protein S4	RP-S4, rpsD	312.89490250523386	309.0418686593584
K06183	16S rRNA pseudouridine516 synthase [EC:5.4.99.19]	rsuA	357.3774438402749	424.91790646516927
K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	mutT, NUDT15, MTH2	964.52184837018	460.50115276526054
K01869	leucyl-tRNA synthetase [EC:6.1.1.4]	LARS, leuS	485.33749427629147	441.50895311204266
K06959	protein Tex	tex	315.6490122300794	199.51935763815735
K03625	transcription antitermination protein NusB	nusB	299.80136481868215	253.27262660681714
K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	xseA	368.82282414862965	296.33487070644503
K03602	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	xseB	324.23673964321705	229.27919226567263
K03631	DNA repair protein RecN (Recombination protein N)	recN	391.7770639525587	301.8416690723834
K02346	DNA polymerase IV [EC:2.7.7.7]	dinB	307.79927078882497	222.4934325809953
K04763	integrase/recombinase XerD	xerD	660.1529718422978	469.88813200497145
K01243	adenosylhomocysteine nucleosidase [EC:3.2.2.9]	mtnN, mtn, pfs	305.4409349469197	333.42584273723133
K09710	ribosome-associated protein	ybeB	293.166189443344	276.9261019808773
K00969	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	nadD	405.7373748869491	467.62010431427177
K06948	30S ribosome assembly GTPase	yqeH	145.37506230825673	6.027307758142015
K07015	putative phosphatase [EC:3.1.3.-]	yqeG	279.63013700036527	213.55965471919384
K02621	topoisomerase IV subunit A [EC:5.6.2.2]	parC	218.8265094439489	66.29827915456883
K02622	topoisomerase IV subunit B [EC:5.6.2.2]	parE	200.9546585036445	81.47466159995801
K08591	acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]	plsY	277.2173131166119	250.69124654875432
K09976	uncharacterized protein	K09976	145.37506230825673	3.181488969669695
K02356	elongation factor P	efp	309.0766042546911	248.57856341554387
K00865	glycerate 2-kinase [EC:2.7.1.165]	glxK, garK	312.3079244256857	94.89104388023937
K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]	gcpE, ispG	401.1384125688904	328.315260287129
K01151	deoxyribonuclease IV [EC:3.1.21.2]	nfo	337.3455644250283	447.68617959730494
K18692	ATP-dependent RNA helicase CshB [EC:3.6.4.13]	cshB	145.37506230825673	0
K01876	aspartyl-tRNA synthetase [EC:6.1.1.12]	DARS2, aspS	447.0495213437294	513.288878045039
K01892	histidyl-tRNA synthetase [EC:6.1.1.21]	HARS, hisS	364.8091608492881	361.8365197518342
K00951	GTP pyrophosphokinase [EC:2.7.6.5]	relA	485.7358607904402	478.4919152617963
K00759	adenine phosphoribosyltransferase [EC:2.4.2.7]	APRT, apt	286.2868144258863	248.36786586268096
K03527	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]	ispH, lytB	471.7096934666195	497.038673292951
K06967	tRNA (adenine22-N1)-methyltransferase [EC:2.1.1.217]	trmK	267.0994654565215	231.43163276810733
K03086	RNA polymerase primary sigma factor	rpoD	746.8221616503768	1268.0443260237507
K02405	RNA polymerase sigma factor FliA	fliA, whiG	160.69876614736296	10.355549420266874
K02316	DNA primase [EC:2.7.7.101]	dnaG	577.999724337512	579.0529282142168
K01880	glycyl-tRNA synthetase [EC:6.1.1.14]	GARS, glyS1	409.46551103957216	338.7818499988673
K03595	GTPase	era, ERAL1	350.33736768202084	262.62396890705537
K07042	probable rRNA maturation factor	ybeY, yqfG	296.27081764290136	221.65090477601802
K03346	replication initiation and membrane attachment protein	dnaB	146.9670038107201	3.5179358197715103
K00850	6-phosphofructokinase 1 [EC:2.7.1.11]	pfkA, PFK	316.72787017639325	323.44814861711995
K00873	pyruvate kinase [EC:2.7.1.40]	PK, pyk	395.7391177006626	458.0115289111519
K00845	glucokinase [EC:2.7.1.2]	glk	745.0697490504244	628.9390558459949
K01868	threonyl-tRNA synthetase [EC:6.1.1.3]	TARS, thrS	527.8461021354174	426.3321179740368
K15923	alpha-L-fucosidase 2 [EC:3.2.1.51]	AXY8, FUC95A, afcA	85.98983292168379	367.8409810397901
K01067	acetyl-CoA hydrolase [EC:3.1.2.1]	E3.1.2.1, ACH1	22.746615022747914	39.58182660291152
K18118	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]	aarC, cat1	24.54462004041241	65.86140930149438
K06168	tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]	miaB	387.59362076923406	264.128535510982
K21572	starch-binding outer membrane protein, SusD/RagB family	susD	1299.6934736111755	2071.613943905653
K12287	MSHA biogenesis protein MshQ	mshQ	53.26660881788243	19.923445715625107
K20276	large repetitive protein	bapA	210.77325133893913	496.1234957460175
K09811	cell division transport system permease protein	ftsX	210.51274556165242	309.3260636130012
K06153	undecaprenyl-diphosphatase [EC:3.6.1.27]	bacA	386.7718547504881	361.94917894505306
K07568	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	queA	342.57272351225964	340.3666066498058
K00950	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	folK	95.88973765837196	104.0100872693671
K00789	S-adenosylmethionine synthetase [EC:2.5.1.6]	metK, MAT	275.26452425657925	431.3284716151686
K02065	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	mlaF, linL, mkl	37.629944925594174	42.084148006380744
K02066	phospholipid/cholesterol/gamma-HCH transport system permease protein	mlaE, linK	30.987067633428865	30.112509908811273
K06861	lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]	lptB	27.049200214279367	28.848234384698166
K07052	CAAX protease family protein	K07052	371.33952204957706	614.6847322219746
K03545	trigger factor	tig	648.0583748987416	1152.243866783912
K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	clpP, CLPP	403.21756915638804	522.71208814307
K03544	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX, CLPX	312.41908719734965	330.6355203558276
K03654	ATP-dependent DNA helicase RecQ [EC:5.6.2.4]	recQ	419.9347117746614	563.416316991797
K00088	IMP dehydrogenase [EC:1.1.1.205]	IMPDH, guaB	579.4491889183605	316.16208076928257
K03771	peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]	surA	78.75631050294922	134.12995352740282
K03572	DNA mismatch repair protein MutL	mutL	349.2919029911834	320.7977368160754
K02950	small subunit ribosomal protein S12	RP-S12, MRPS12, rpsL	435.89981394590023	307.3902000907453
K02992	small subunit ribosomal protein S7	RP-S7, MRPS7, rpsG	378.28793849540915	235.3907382295242
K02946	small subunit ribosomal protein S10	RP-S10, MRPS10, rpsJ	332.72549807660744	268.288941178178
K02906	large subunit ribosomal protein L3	RP-L3, MRPL3, rplC	422.2883637305881	303.65920777283185
K02926	large subunit ribosomal protein L4	RP-L4, MRPL4, rplD	351.97122099732184	301.2376554891341
K02892	large subunit ribosomal protein L23	RP-L23, MRPL23, rplW	343.60014428574954	283.1131211562344
K02886	large subunit ribosomal protein L2	RP-L2, MRPL2, rplB	359.58932009729625	329.0618618709623
K02965	small subunit ribosomal protein S19	RP-S19, rpsS	326.7333934913822	270.47100678375875
K02890	large subunit ribosomal protein L22	RP-L22, MRPL22, rplV	337.40535358730796	272.73676603755814
K02982	small subunit ribosomal protein S3	RP-S3, rpsC	378.5392847986584	302.3213378585267
K02878	large subunit ribosomal protein L16	RP-L16, MRPL16, rplP	345.02493287026	306.2072186500743
K02904	large subunit ribosomal protein L29	RP-L29, rpmC	321.6504594964305	302.02095057153593
K02961	small subunit ribosomal protein S17	RP-S17, MRPS17, rpsQ	325.5428438410705	282.19768542303393
K02874	large subunit ribosomal protein L14	RP-L14, MRPL14, rplN	323.0543346528595	308.3761502916212
K02895	large subunit ribosomal protein L24	RP-L24, MRPL24, rplX	325.4164253156768	299.7462359620291
K02931	large subunit ribosomal protein L5	RP-L5, MRPL5, rplE	338.46998705708216	323.4997575348195
K02954	small subunit ribosomal protein S14	RP-S14, MRPS14, rpsN	145.45868018911455	275.7101452705409
K02994	small subunit ribosomal protein S8	RP-S8, rpsH	331.8693671269241	286.54219749234574
K02933	large subunit ribosomal protein L6	RP-L6, MRPL6, rplF	355.09698624149337	310.7924783352197
K02881	large subunit ribosomal protein L18	RP-L18, MRPL18, rplR	370.01743208685633	273.79737879329235
K02988	small subunit ribosomal protein S5	RP-S5, MRPS5, rpsE	363.1095125950841	285.01450196577287
K02907	large subunit ribosomal protein L30	RP-L30, MRPL30, rpmD	161.72682352366687	243.0612948654828
K02876	large subunit ribosomal protein L15	RP-L15, MRPL15, rplO	345.25051819679794	295.21899847815
K03076	preprotein translocase subunit SecY	secY	378.74313521449056	402.3292412953817
K01265	methionyl aminopeptidase [EC:3.4.11.18]	map	467.6913620401026	385.5097425319086
K02518	translation initiation factor IF-1	infA	402.4146599979273	479.45870376117267
K02919	large subunit ribosomal protein L36	RP-L36, MRPL36, rpmJ	141.73057916365536	242.03770840182412
K02952	small subunit ribosomal protein S13	RP-S13, rpsM	328.9036523346542	298.1511838134147
K02948	small subunit ribosomal protein S11	RP-S11, MRPS11, rpsK	366.4704703130862	285.4218721915139
K03040	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	rpoA	473.9859187263501	364.18482656606847
K02879	large subunit ribosomal protein L17	RP-L17, MRPL17, rplQ	342.42616673341826	304.4463639683055
K01689	enolase [EC:4.2.1.11]	ENO, eno	427.8034641427101	351.2810167487897
K02477	two-component system, LytTR family, response regulator	K02477	940.4131664711474	254.82502760498636
K02884	large subunit ribosomal protein L19	RP-L19, MRPL19, rplS	346.4549137602277	219.1076542928524
K04720	threonine-phosphate decarboxylase [EC:4.1.1.81]	cobD	273.2051697934263	304.54585008520985
K03088	RNA polymerase sigma-70 factor, ECF subfamily	rpoE	1725.2509244963226	2356.375127689264
K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	plsC	511.5665217836385	565.1774933890284
K01130	arylsulfatase [EC:3.1.6.1]	E3.1.6.1	130.7591899276839	90.10229196831519
K01113	alkaline phosphatase D [EC:3.1.3.1]	phoD	21.136583294946576	11.896220728452777
K18910	D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]	dpe, lre	36.1315125499234	14.9801610332717
K01847	methylmalonyl-CoA mutase [EC:5.4.99.2]	MUT	79.63566385347043	157.67429501337534
K09680	type II pantothenate kinase [EC:2.7.1.33]	PANK1_2_3, CAB1, coaW	27.85762988387989	20.600168801983415
K04066	primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:5.6.2.4]	priA	380.75620158361653	387.17944171104654
K01104	protein-tyrosine phosphatase [EC:3.1.3.48]	E3.1.3.48	631.7438884464091	893.3855885902362
K07037	cyclic-di-AMP phosphodiesterase PgpH [EC:3.1.4.-]	pgpH	26.890817818457887	65.14433470098236
K01885	glutamyl-tRNA synthetase [EC:6.1.1.17]	EARS, gltX	540.8122896784066	676.8549534492273
K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	kdtA, waaA	39.64804768487062	69.97453146225003
K01372	bleomycin hydrolase [EC:3.4.22.40]	BLMH, pepC	569.0079816277126	149.7109626114833
K01262	Xaa-Pro aminopeptidase [EC:3.4.11.9]	pepP	457.7129050413245	559.5487424053975
K08963	methylthioribose-1-phosphate isomerase [EC:5.3.1.23]	mtnA	44.65790106777968	42.256004050410965
K02970	small subunit ribosomal protein S21	RP-S21, MRPS21, rpsU	64.22246858996657	216.7834184118704
K03733	integrase/recombinase XerC	xerC	411.836496005956	311.103329928187
K05808	putative sigma-54 modulation protein	yhbH	264.7510462154965	110.03476041224627
K02358	elongation factor Tu	tuf, TUFM	488.4243680274618	327.47718005334633
K03073	preprotein translocase subunit SecE	secE	374.5095871374711	206.9551977116254
K02601	transcription termination/antitermination protein NusG	nusG	413.48072187096494	269.1199341009651
K02867	large subunit ribosomal protein L11	RP-L11, MRPL11, rplK	352.03640803380046	245.38585223584437
K02863	large subunit ribosomal protein L1	RP-L1, MRPL1, rplA	423.0211474487192	269.74530638052966
K02864	large subunit ribosomal protein L10	RP-L10, MRPL10, rplJ	343.4508678368584	264.58477234850744
K02935	large subunit ribosomal protein L7/L12	RP-L7, MRPL12, rplL	352.0714810544117	263.97056749163556
K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	rpoB	575.3926712713003	584.4574533929908
K03046	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	rpoC	725.9641026951186	518.4132252294773
K09065	N-acetylornithine carbamoyltransferase [EC:2.1.3.9]	argF	26.038617325506625	35.871378707345585
K13043	N-succinyl-L-ornithine transcarbamylase [EC:2.1.3.11]	argF	26.038617325506625	33.41520346439141
K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	proA	191.10040754715743	309.2795372570056
K00931	glutamate 5-kinase [EC:2.7.2.11]	proB	200.2343274972029	328.4806861667623
K01895	acetyl-CoA synthetase [EC:6.2.1.1]	ACSS1_2, acs	40.54415581223234	49.32116001134325
K08295	2-aminobenzoate-CoA ligase [EC:6.2.1.32]	abmG	37.1722453740694	37.93132017394285
K09702	uncharacterized protein	K09702	22.962392299265797	11.245209934626628
K00294	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	E1.2.1.88	30.950283506152818	40.428909368292615
K13821	RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]	putA	35.6551198888026	41.60993142690318
K00318	proline dehydrogenase [EC:1.5.5.2]	PRODH, fadM, putB	33.87622457657367	0
K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	proC	187.54510329203606	303.27718283229075
K01278	dipeptidyl-peptidase 4 [EC:3.4.14.5]	DPP4, CD26	170.83789567458564	139.8282132128251
K01802	peptidylprolyl isomerase [EC:5.2.1.8]	E5.2.1.8	262.1910124869808	174.9963499541189
K01537	P-type Ca2+ transporter type 2C [EC:7.2.2.10]	ATP2C	505.2446067591175	352.9171860777785
K07139	uncharacterized protein	K07139	87.20025345402193	98.87716605511477
K03644	lipoyl synthase [EC:2.8.1.8]	lipA, LIAS, LIP1, LIP5	24.626307335859156	32.59014799677349
K07095	uncharacterized protein	K07095	445.4008514963051	536.931510575581
K00937	polyphosphate kinase [EC:2.7.4.1]	ppk1	395.2880342932496	389.83475498167587
K07056	16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]	rsmI	465.1109738367989	408.41486124333505
K13018	UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]	wbpD, wlbB	28.501662137045127	11.817474821380397
K06177	tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]	rluA	111.83673701483796	90.18078194994608
K03827	putative acetyltransferase [EC:2.3.1.-]	yjaB	84.82296514255806	70.99820956470056
K07071	uncharacterized protein	K07071	28.895595321377556	21.806496958152827
K18369	alcohol dehydrogenase [EC:1.1.1.-]	adh2	83.3162987483581	184.67376628655242
K03169	DNA topoisomerase III [EC:5.6.2.1]	topB	1007.5298546297342	1459.9426261413353
K07133	uncharacterized protein	K07133	821.1790585381002	480.1104640939978
K06926	uncharacterized protein	K06926	63.735274722091575	67.72257062908571
K06915	DNA double-strand break repair helicase HerA and related ATPase	herA	56.530737760038484	39.64078184684278
K03832	periplasmic protein TonB	tonB	68.47737671186661	116.00957459168825
K07154	serine/threonine-protein kinase HipA [EC:2.7.11.1]	hipA	173.73350501115297	118.73636604452356
K00928	aspartate kinase [EC:2.7.2.4]	lysC	393.6848504255891	499.7667123446324
K07646	two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]	kdpD	417.5383179835862	595.1217129523553
K01548	potassium-transporting ATPase KdpC subunit	kdpC	80.48250230369077	75.15473060623992
K01547	potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]	kdpB	93.76153967627991	141.08545139018543
K01546	potassium-transporting ATPase potassium-binding subunit	kdpA	91.00055964160218	154.07466614982994
K01338	ATP-dependent Lon protease [EC:3.4.21.53]	lon	447.50730664427095	431.2247697370393
K16055	trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]	TPS	42.65632911665911	30.8873666862871
K01178	glucoamylase [EC:3.2.1.3]	SGA1	21.328164558329554	30.775787866192196
