OG	Kingdom	Description	0505-0101	R1W5
COG1609	Bacteria	Psort location Cytoplasmic, score	2361.8672006694205	1960.2890627844063
COG0779	Bacteria	Required for maturation of 30S ribosomal subunits	331.246973358004	278.33178540530804
COG0195	Bacteria	Participates in both transcription termination and antitermination	425.74908058319136	349.5889153453711
COG0532	Bacteria	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex	532.4087276991373	505.7449250459007
COG0858	Bacteria	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA	362.6277277272531	321.5710458150955
COG0130	Bacteria	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs	367.146129342327	319.70496776402365
COG1307	Bacteria	Uncharacterised protein, DegV family COG1307	1215.133854187595	1345.426727870235
COG0286	Bacteria	type I restriction enzyme M protein	1283.5997646521187	630.8063144297656
32RHJ	Bacteria	-	151.92479437388505	0
COG2256	Bacteria	Psort location Cytoplasmic, score 8.87	447.9393690738544	346.4603285410606
COG1490	Bacteria	rejects L-amino acids rather than detecting D-amino acids in the active site. By recycling D-aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl-tRNA entities in vivo and helps enforce protein L-homochirality	369.5359682192428	256.4061982639048
COG0482	Bacteria	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34	479.7941793355583	761.3867126817878
COG1653	Bacteria	peptidase activity, acting on L-amino acid peptides	3788.0264332461243	2675.484340565406
COG3173	Bacteria	Phosphotransferase enzyme family	210.76591768258436	14.423919626226535
COG0621	Bacteria	Catalyzes the methylthiolation of an aspartic acid residue of ribosomal protein S12	1076.2892989342552	922.4444471492013
COG1132	Bacteria	ABC transporter transmembrane region	5534.467373553958	4696.423043979368
COG0480	Bacteria	Elongation factor G, domain IV	1706.0851835841415	1288.115717018811
32BZU	Bacteria	-	151.92479437388505	0
COG1488	Bacteria	Catalyzes the synthesis of beta-nicotinate D- ribonucleotide from nicotinate and 5-phospho-D-ribose 1-phosphate at the expense of ATP	369.9755700011304	287.5070795922838
COG1420	Bacteria	Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons	345.5432165357803	334.17730485133876
COG0576	Bacteria	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ	333.674085730517	314.8826637566159
COG0443	Bacteria	Heat shock 70 kDa protein	683.1225818499097	663.5431834014502
COG0484	Bacteria	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins	630.6106590462217	834.0344888346053
COG1253	Bacteria	CBS domain	630.3376545454328	616.7463511506583
COG0223	Bacteria	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus	401.15859967640125	315.70107535460835
COG0652	Bacteria	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	586.6886218632245	546.3535389631132
COG1466	Bacteria	DNA polymerase III, delta subunit	369.9746073583433	335.3406803413144
COG0226	Bacteria	phosphate ion binding	530.0882219200059	708.9691071556131
COG0573	Bacteria	probably responsible for the translocation of the substrate across the membrane	369.858359248357	381.3125625678788
COG0581	Bacteria	Binding-protein-dependent transport system inner membrane component	425.5730083135821	421.35518318490364
COG1117	Bacteria	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system	371.11966143120367	414.60719159280046
COG0704	Bacteria	PhoU domain	356.6379095451805	370.86016987726475
COG0745	Bacteria	Transcriptional regulatory protein, C terminal	3567.0749046620977	7326.536690468183
COG5002	Bacteria	Histidine kinase	1274.6267391057481	1302.2681893342042
COG2606	Bacteria	Aminoacyl-tRNA editing domain	442.09294832530196	371.98206783888844
COG0595	Bacteria	An RNase that has 5'-3' exonuclease and possibly endonuclease activity. Involved in maturation of rRNA and in some organisms also mRNA maturation and or decay	590.613925392057	456.4410932868573
COG0274	Bacteria	Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate	383.78926895389515	329.9032560816472
COG0268	Bacteria	Binds directly to 16S ribosomal RNA	353.8212656043335	295.7294332361813
COG1121	Bacteria	'COG1121 ABC-type Mn Zn transport systems, ATPase component'	378.5212482092155	123.61289952548385
COG0577	Bacteria	Psort location CytoplasmicMembrane, score 10.00	3317.1760364796473	3464.29472356672
33XZS	Bacteria	Psort location CytoplasmicMembrane, score	151.92479437388505	0
COG0406	Bacteria	Phosphoglycerate mutase family	778.4027203816148	917.9291604147448
COG2217	Bacteria	Copper-exporting ATPase	1337.677232601721	2178.8422178493465
COG1937	Bacteria	PFAM Uncharacterised BCR, COG1937	321.4207811453235	221.93351465238072
COG2033	Bacteria	Desulfoferrodoxin	413.64890870067944	371.1418858587089
COG1073	Bacteria	Protein of unknown function (DUF2974)	1137.8564217222254	1209.4876429424169
COG1502	Bacteria	Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol	598.8873901537997	875.9767133744175
COG0618	Bacteria	DHH family	705.6369944579196	329.5784020241591
COG0474	Bacteria	P-type ATPase	1116.9111511749486	613.9055921139743
COG1028	Bacteria	Short-chain dehydrogenase reductase SDR	1913.158988959645	1648.4549189276447
COG0366	Bacteria	Psort location Cytoplasmic, score	1849.8529535036112	1382.9039974623226
COG3842	Bacteria	Belongs to the ABC transporter superfamily	1659.5298623121046	1246.4676100161632
COG3833	Bacteria	PFAM binding-protein-dependent transport systems inner membrane component	176.79378321294695	61.72639589779131
COG1175	Bacteria	Binding-protein-dependent transport system inner membrane component	2065.464007085479	1437.6799990784466
COG2182	Bacteria	Bacterial extracellular solute-binding protein	199.62689719474355	149.7577019078893
COG2211	Bacteria	MFS/sugar transport protein	1092.3858338152913	1146.9919519198272
COG1523	Bacteria	Belongs to the glycosyl hydrolase 13 family	640.0871334296288	401.8329948195563
COG1472	Bacteria	Belongs to the glycosyl hydrolase 3 family	3829.0764845104977	1789.3770109979191
COG1704	Bacteria	LemA family	233.32961358990198	90.34208016704969
2Z8MZ	Bacteria	-	151.92479437388505	0
COG0168	Bacteria	Cation transport protein	619.7075351716222	908.7594213727741
COG0569	Bacteria	domain protein	879.3623160189684	1211.078212683904
COG1409	Bacteria	Calcineurin-like phosphoesterase	1006.1737475565246	854.0845692979534
COG0553	Bacteria	SNF2 family N-terminal domain	1895.0381279906467	2132.7914717408476
2ZUX8	Bacteria	-	303.8495887477701	0
COG1476	Bacteria	Helix-turn-helix XRE-family like proteins	749.5125716828319	1448.2015609550442
COG1180	Bacteria	glycyl-radical enzyme activating activity	599.592760008766	459.9148679790274
COG1328	Bacteria	CTP reductase activity	647.6467720214048	385.27233763823693
COG0703	Bacteria	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate	285.2266755696178	169.8123424955167
COG2189	Bacteria	Adenine specific DNA methylase Mod	560.189502947239	137.8058181057665
COG3210	Bacteria	domain, Protein	619.8299588057565	1268.9847816911622
COG3639	Bacteria	Binding-protein-dependent transport system inner membrane component	335.22251142037663	16.019661442739515
COG3638	Bacteria	Part of the ABC transporter complex PhnCDE involved in phosphonates import. Responsible for energy coupling to the transport system	167.85049157972696	11.83097960515269
COG3221	Bacteria	ABC transporter, phosphonate, periplasmic substrate-binding protein	171.25881738198254	27.423447269112053
33NNW	Bacteria	Double zinc ribbon	151.92479437388505	0
COG0668	Bacteria	mechanosensitive ion channel	621.4436248664825	391.4452946277303
COG0744	Bacteria	Papain family cysteine protease	516.7047625581001	441.51859752521545
30M8W	Bacteria	Integral membrane protein (intg_mem_TP0381)	180.04990049743887	9.927588710225622
COG1349	Bacteria	Putative ATP-dependent DNA helicase recG C-terminal	867.5040522298729	771.6570471496652
COG1051	Bacteria	NUDIX domain	1568.1340028833285	769.8972774784451
COG1199	Bacteria	helicase	377.2257362796786	358.4817304836985
COG0481	Bacteria	Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner	454.1427492316421	419.1936184090699
2ZHAU	Bacteria	-	151.92479437388505	0
COG0635	Bacteria	Involved in the biosynthesis of porphyrin-containing compound	601.3567476675462	679.7037543232359
COG0162	Bacteria	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr)	395.0549147360826	284.10950446810017
COG0542	Bacteria	Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE	1051.0261543821134	1266.5083173984617
COG0522	Bacteria	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit	325.03353057914467	323.0983239183927
COG5492	Bacteria	domain, Protein	1327.2557390717163	1618.7808475247282
COG1187	Bacteria	Belongs to the pseudouridine synthase RsuA family	691.4063698813924	547.3194677215305
COG0495	Bacteria	Belongs to the class-I aminoacyl-tRNA synthetase family	500.7621871319292	461.59053905638314
COG2183	Bacteria	Tex-like protein N-terminal domain	325.0046656482274	208.59429281156363
COG0781	Bacteria	Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons	319.6197261729675	264.7924745797821
COG1570	Bacteria	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides	373.0928596222061	312.07123415536023
COG1722	Bacteria	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides	338.8449106512052	239.70772326663658
COG0497	Bacteria	May be involved in recombinational repair of damaged DNA	423.70685870544287	330.820143767523
COG0389	Bacteria	Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII	647.5002079779784	665.8818613148363
COG4974	Bacteria	recombinase XerD	2574.972367558122	2387.8830155945507
COG0775	Bacteria	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively	320.9401450930545	376.5839981164889
COG0799	Bacteria	Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation	306.3745070259262	289.5218042377893
COG1057	Bacteria	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)	414.8892832703852	330.26503802208595
COG1161	Bacteria	ribosome biogenesis GTPase YqeH	427.62552162752326	234.36630460076313
COG2179	Bacteria	Mitochondrial PGP phosphatase	292.2286009029552	223.27319853355638
COG0188	Bacteria	Topoisomerase IV is essential for chromosome segregation. It relaxes supercoiled DNA. Performs the decatenation events required during the replication of a circular DNA molecule	983.8672713108095	1090.8855886061667
COG0187	Bacteria	Topoisomerase IV is essential for chromosome segregation. It relaxes supercoiled DNA. Performs the decatenation events required during the replication of a circular DNA molecule	914.4098942542084	1183.1998136384138
COG0344	Bacteria	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP	289.70706958541496	264.80931673753696
COG3763	Bacteria	UPF0154 protein	151.92479437388505	3.326195761514027
COG0231	Bacteria	Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase	323.0017501048779	259.88490669570643
COG1929	Bacteria	Belongs to the glycerate kinase type-1 family	329.7000621537526	99.20706655565188
COG0821	Bacteria	Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	419.21131366926346	343.2483461732069
COG0648	Bacteria	Endonuclease IV plays a role in DNA repair. It cleaves phosphodiester bonds at apurinic or apyrimidinic sites (AP sites) to produce new 5'-ends that are base-free deoxyribose 5-phosphate residues. It preferentially attacks modified AP sites created by bleomycin and neocarzinostatin	352.5443407861827	465.3181344827275
COG0513	Bacteria	helicase superfamily c-terminal domain	692.4339779460458	795.9936311207031
COG0173	Bacteria	Catalyzes the attachment of L-aspartate to tRNA(Asp) in a two-step reaction L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp)	327.43751836373735	184.55557450707028
COG0124	Bacteria	histidyl-tRNA synthetase	381.2452828409884	378.2942860507513
COG0317	Bacteria	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance	611.5605634017955	568.1510506515971
COG0503	Bacteria	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis	492.9105962704484	602.4595981529322
COG0761	Bacteria	Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis	243.50588677350592	93.19031450473666
COG2384	Bacteria	tRNA (adenine(22)-N(1))-methyltransferase	280.65355871122875	241.95806533739744
COG0568	Bacteria	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth	831.5543748420667	1356.710326081591
COG1191	Bacteria	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released	1116.7087885355534	1232.7143304192443
COG0358	Bacteria	RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication	1734.839796263491	2357.1598785325145
COG0423	Bacteria	Catalyzes the attachment of glycine to tRNA(Gly)	427.91358146404446	354.1909980788349
COG1381	Bacteria	Involved in DNA repair and RecF pathway recombination	373.9497193480074	275.64368779171235
COG1159	Bacteria	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism	366.1214771053357	274.56915317903196
COG0319	Bacteria	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA	351.01368014775477	266.51970181809406
COG3611	Bacteria	replication initiation	156.25631807016444	9.199985970181913
COG0205	Bacteria	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis	915.7374253959695	1128.9971917499845
COG0469	Bacteria	Belongs to the pyruvate kinase family	413.56875882116907	478.8437177410667
COG1482	Bacteria	Phosphomannose isomerase type I	357.46148177711586	164.8971018663071
COG0441	Bacteria	Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr)	1104.2959997189769	798.4059581375981
COG1554	Bacteria	Glycosyl hydrolase family 65, N-terminal domain	115.00840520915796	544.6998255483519
COG3637	Bacteria	Phosphate-selective porin O and P	512.6728991741577	462.3577373812333
COG0427	Bacteria	acetyl-CoA hydrolase	164.76746755205596	405.8228375741512
COG3408	Bacteria	Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain	344.52037099059936	577.232012398641
COG0702	Bacteria	SusD family	201.1292456651203	304.3899706387376
COG1629	Bacteria	TonB-dependent receptor plug domain	2950.529244386521	2615.3355787457326
COG3420	Bacteria	domain, Protein	84.36850994775286	59.26541276925987
COG2177	Bacteria	Belongs to the ABC-4 integral membrane protein family. FtsX subfamily	219.99719260460512	323.39544519062156
331EZ	Bacteria	Protein of unknown function (DUF3098)	25.56786998665857	27.512411765658086
COG1968	Bacteria	Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin	401.12655249481776	378.4120694328571
COG0809	Bacteria	Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA)	358.00700444305744	355.8478357751573
COG0801	Bacteria	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	100.20995654277725	106.13244279068562
33KMT	Bacteria	-	22.0888715015111	19.24857492063234
COG0192	Bacteria	Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme	462.94229657448386	450.9470087069474
COG1127	Bacteria	ABC transporter, ATP-binding protein	37.85641504463853	41.88485630435685
COG0767	Bacteria	COG0767 ABC-type transport system involved in resistance to organic solvents, permease component	32.38315983298444	31.482146813048956
COG3507	Bacteria	Glycosyl hydrolases family 43	542.2757402718031	969.075277497912
COG1137	Bacteria	ABC transporter	28.267875626554694	32.64667048871053
COG1266	Bacteria	CAAX protease self-immunity	594.769133374895	740.4462877681437
COG0544	Bacteria	Trigger factor	724.4274958053302	1313.1405574320902
COG0740	Bacteria	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins	459.9520335712604	591.1700233565631
COG1219	Bacteria	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP	326.49482536619644	345.67414091261696
COG0514	Bacteria	ATP-dependent DNA helicase RecQ	419.61096554547265	609.5784000665722
COG0516	Bacteria	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth	606.7896533981016	340.5739613145486
COG0760	Bacteria	peptidylprolyl isomerase	225.02244170189738	345.0684230507504
COG1934	Bacteria	OstA-like protein	456.40501516815283	24.415933978387212
33AUP	Bacteria	COG NOG23401 non supervised orthologous group	22.0888715015111	12.64513023902796
COG0323	Bacteria	This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex	402.22773625945734	424.4829743823346
COG5545	Bacteria	-	506.70769237226773	788.4596402836037
COG0048	Bacteria	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit	455.53885618238104	321.3715308838353
COG0049	Bacteria	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA	395.3313337068249	246.097246686349
COG0051	Bacteria	Involved in the binding of tRNA to the ribosomes	347.71612184111217	280.4917909555379
COG0087	Bacteria	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit	441.31415531376297	317.4708381728454
COG0088	Bacteria	Forms part of the polypeptide exit tunnel	367.82894209295415	314.9391440449993
COG0089	Bacteria	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome	356.62114347830226	295.99023369131504
COG0090	Bacteria	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity	375.7902672398309	344.0289061711703
COG0185	Bacteria	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA	341.4540488106853	282.77310559714795
COG0091	Bacteria	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome	352.60682369102835	285.1419206074923
COG0092	Bacteria	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation	395.5940041733511	316.0721166054151
COG0197	Bacteria	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs	360.56969570908734	320.13474273482024
COG0255	Bacteria	Belongs to the universal ribosomal protein uL29 family	336.14210816737454	315.7580665080152
COG0186	Bacteria	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA	340.2098601036017	295.0331602943182
COG0093	Bacteria	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome	336.11963423507797	322.40232602739275
COG0198	Bacteria	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit	338.5881465957472	313.37988881671197
COG0094	Bacteria	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits	353.7194231865047	338.213815173103
COG0199	Bacteria	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site	152.0121795770526	288.25054097248693
COG0096	Bacteria	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit	345.06291298767195	299.57527807896406
COG0097	Bacteria	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center	371.0955356506226	324.9285582958891
COG0256	Bacteria	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance	386.6882076745005	286.25077425632236
COG0098	Bacteria	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body	379.4690585874755	297.9780968742471
COG1841	Bacteria	50S ribosomal protein L30	169.01326828995752	257.3844037769636
COG0200	Bacteria	binds to the 23S rRNA	358.7316886127538	308.64673453775515
COG0201	Bacteria	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently	395.80703887143886	420.62877787339573
